pathway	pval	padj	log2err	ES	NES	size	leadingEdge
REACTOME_REGULATION_OF_PYRUVATE_DEHYDROGENASE_PDH_COMPLEX	0.529880478087649	0.757213569962574	0.0758886900606117	-0.401188457832632	-0.937416816923242	14	Pdk2,Gstz1,Pdha1,Pdk4
REACTOME_APOPTOTIC_EXECUTION_PHASE	0.535922330097087	0.761314929854043	0.0739901439101341	0.311901664345065	0.936961075117132	43	Tjp1,Acin1,Lmnb1,Ocln,Stk26,Rock1,Plec
REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS	0.554455445544555	0.773560248123991	0.0732558655828455	0.367036111218257	0.934114174902926	20	Anapc1,Anapc4,Cdc27
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	0.551362683438155	0.771907756813417	0.0764767053228531	0.434284701134627	0.933778024752132	10	Cx3cl1,Ccr5,Ccl27a,Ccl25
REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS	0.521072796934866	0.75182162005417	0.0747385227439092	-0.266689254544972	-0.931272182075994	146	Tbl1xr1,Ppp5c,Fabp5,Gng3,Pdk2,Gnb1,Tle3,Rdh11,Fkbp5,Kat5,Hspb1,Nos3,Foxo3,Calm3,Pdha1,Aldh1a1,Gnb2,Polr2e,Gnai2,Ptk2,Esr1,Gnai1,Ncoa2,Pdk4,Gnb4,Aldh1a2,Pik3r1,Pik3ca,Prkcz,Rxrb,Polr2d,Rara,Akt1,H3f3a
REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS	0.525691699604743	0.757213569962574	0.0758886900606117	-0.377174380259792	-0.93098864019771	18	Tecr,Acsbg1,Acsl6,Acsl5,Hacd2
REACTOME_REGULATION_OF_CDH11_EXPRESSION_AND_FUNCTION	0.556701030927835	0.773838333858126	0.0751181635276301	0.421702509288545	0.930526080709041	11	Adam19,Cdh11,Adam33,Sp1,Ilf3
REACTOME_CD209_DC_SIGN_SIGNALING	0.572301425661914	0.778489116517286	0.0730744399126987	0.38653297240831	0.930045677434719	16	Ep300,Pak3,Lyn,Relb,Nfkb1,Raf1,Kras
REACTOME_CARNITINE_SHUTTLE	0.578	0.78240850996269	0.0716527366829457	0.395943002301002	0.927759513475374	14	Cpt1b,Acaca,Prkaa2,Ppard,Prkag2,Acacb
REACTOME_PENTOSE_PHOSPHATE_PATHWAY	0.537848605577689	0.761314929854043	0.0751181635276301	-0.396821520716164	-0.927213033111665	14	G6pdx,Tkt
