pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.118243243243243	0.197072072072072	0.241339976815091	0.32198110966792	1.19791146625652	102	Ddit4,Calr,Herpud1,Hyou1,Hspa5,Eef2,Atp6v0d1,Bag3,Pop4,Dnaja4,Xbp1,Wfs1,Nfya,Cebpb,Eif4a3,Tubb2a,Edem1,Srprb,Dctn1,Ywhaz,Tatdn2,Shc1,Banf1,H2ax,Pdia6,Khsrp,Imp3,Exosc4,Nhp2,Lsm4,Zbtb17,Arxes2
HALLMARK_TGF_BETA_SIGNALING	0.190883190883191	0.289216955883623	0.170932335370056	0.354597651864053	1.17072366155532	51	Junb,Smad7,Hipk2,Ski,Pmepa1,Ppp1ca,Thbs1,Rab31,Id1,Fkbp1a,Ppp1r15a,Bcar3,Smurf1,Id3,Cdh1,Skil,Ncor2
HALLMARK_APICAL_JUNCTION	0.135849056603774	0.21911138161899	0.237793834423688	0.287504320827035	1.14919671792497	165	Flnc,Nrxn2,Actb,Gnai2,Cx3cl1,Actg1,Cldn11,Nfasc,Mvd,Amigo1,Insig1,Jup,Hras,Nf2,Atp1a3,Tubg1,Ppp2r2c,Myh9,Icam5,Thy1,Sdc3,Pfn1,Itgb4,Mdk,Pcdh1,Nectin2,Sympk,Taok2,Nlgn2,Tmem8b,Cadm3,Cap1,Vcl,Baiap2,Vasp,Nlgn3,Shc1,Fscn1,Mpzl1,Nectin1,Cnn2,Tspan4,Akt2
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.221590909090909	0.325868983957219	0.106323255932708	-0.333548682697776	-1.14110280681595	123	Cfh,Stat2,Pnpt1,Hif1a,Tnfsf10,Psma3,Ifih1,Herc6,St8sia4,Jak2,Il15ra,Ptpn2,Il18bp,Ifi27,Sppl2a,Rapgef6,Ogfr,Nampt,Marchf1,Pla2g4a,Myd88,Arl4a,Psma2
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.264094955489614	0.366798549291131	0.14641623786055	0.336763352239562	1.12619226761666	54	Jun,Tnfrsf1a,Il6st,Stat3,Ptpn1,Tnfrsf12a,Bak1,Cntfr,Crlf2,Grb2,Socs3,Cd9,Acvrl1,Ltbr,Ptpn11
HALLMARK_COMPLEMENT	0.238434163701068	0.340620233858668	0.170932335370056	0.28154645043639	1.09390983767337	135	Fyn,Csrp1,Gnb4,Gnai2,Calm3,Hspa5,Notch4,Dusp6,Cdh13,C2,Spock2,Maff,Cebpb,Mmp15,Rhog,Ctsd,Pfn1,Car2,Mt3,Sh2b3,Plat,Hpcal4,Prss36,C1qa,Cdk5r1,Hspa1a,Dusp5,Atox1,Kcnip3,Timp2,C1qc,Grb2,Gnb2
HALLMARK_HEDGEHOG_SIGNALING	0.359223300970874	0.485436893203884	0.0855356947987884	-0.390499632895194	-1.06825611590847	34	Rasa1,Vldlr,Vegfa,Gli1,Ophn1
HALLMARK_SPERMATOGENESIS	0.373511904761905	0.491463032581454	0.0789209638180035	-0.328751041647968	-1.04755467858756	75	Sirt1,Adcyap1,Hspa4l,Braf,Gmcl1,Clvs1,Zc3h14,Parp2,Strbp,Clgn,Ide,Topbp1,Acrbp,Pias2,Dcc,Arl4a,Ift88,Camk4,Phkg2,Grm8,Rad17,Mast2,Agfg1
HALLMARK_UV_RESPONSE_DN	0.454545454545455	0.582750582750583	0.118287526124085	0.256945962743973	1.0006056289848	136	Dusp1,Ccn1,Lpar1,Fyn,Smad7,Bhlhe40,Prdm2,Igfbp5,Mgll,Insig1,Plpp3,Fzd2,Dlc1,Dbp
HALLMARK_ALLOGRAFT_REJECTION	0.544692737430168	0.664259435890448	0.0571258510018113	-0.286258660717072	-0.956749296508128	96	Flna,Acvr2a,Hif1a,Abce1,Ptprc,Gcnt1,St8sia4,Jak2,Ccr5,Ctss,Galnt1,Hdac9,Ikbkb,Glmn,Nck1,Ifngr1,Eif3a,Mtif2,Mmp9,Zap70,Csk,Il18,Map3k7,Crtam,F2r,Cd47,Nme1,Ptpn6,Npm1,Spi1,Abi1
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.539039039039039	0.664259435890448	0.0610363728309177	-0.307347832715675	-0.946781072067147	60	Stat2,Pnpt1,Psma3,Ifih1,Trim12c,Herc6,Ifi27,Ogfr,Mov10
HALLMARK_INFLAMMATORY_RESPONSE	0.636363636363636	0.732732732732733	0.0946646223153342	0.24435178604905	0.927401587752993	111	Lpar1,Cx3cl1,Chst2,Btg2,Gabbr1,Tnfaip6,Sema4d,Scn1b,Irak2,P2rx7,Rhog,Mxd1,Ldlr,Rgs16,Cd82
HALLMARK_PEROXISOME	0.655629139072848	0.732732732732733	0.0919686140000427	0.252917893242167	0.915633215609233	88	Dhcr24,Dlg4,Fdps,Hras,Elovl5,Abcb9,Fis1,Sult2b1,Slc25a4,Ttr,Bcl10,Sod1,Fads1,Hmgcl,Pex6,Rxrg,Sod2,Mlycd
HALLMARK_ANGIOGENESIS	0.654340836012862	0.732732732732733	0.0551351763385257	-0.331499386301332	-0.884662973134033	28	Vegfa,Vcan,Postn,Jag1,Lpl
HALLMARK_PANCREAS_BETA_CELLS	0.65945945945946	0.732732732732733	0.080419996876154	0.320776718088653	0.881056756960073	24	Syt13,Sst,Srprb,Stxbp1,Foxo1,Insm1,Chga
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.700272479564033	0.761165738656557	0.0776798560117236	0.276541556276693	0.866353928537387	38	Ppard,Fzd1,Notch4,Ccnd2,Hdac11,Nkd1,Axin1,Hdac5,Ncor2,Hey1
HALLMARK_DNA_REPAIR	0.95536959553696	0.995176662017666	0.0309900819310557	-0.215509176069159	-0.751248068136572	141	Rev3l,Snapc4,Ddb2,Cstf3,Stx3,Polb,Srsf6,Nfx1,Rrm2b,Rnmt,Nt5c3,Upf3b,Pola1,Tarbp2,Ago4,Aaas,Cetn2,Sdcbp
HALLMARK_MYC_TARGETS_V2	0.878378378378378	0.934445083381254	0.0384786917635432	-0.24665491523208	-0.750676804820595	55	Cdk4,Ipo4,Ndufaf4,Las1l,Wdr43,Gnl3,Prmt3,Mphosph10
HALLMARK_KRAS_SIGNALING_UP	0.986282578875171	0.998531571218796	0.0285743975105342	-0.201266776962299	-0.710312100308033	149	Ptbp2,Cfh,Abcb1a,Peg3,Zfp639,Evi5,Cdadc1,Cbr4,Avl9,Cbl,Ctss,Snap25,Itgbl1,Rabgap1l,Nin,Hdac9,Tfpi,Ero1a,Ccser2,Crot,Satb1,Pecam1,Cpe,F13a1,Mmp9,Gabra3,Hkdc1,Etv1,Il10ra,Nap1l2,Fcer1g,Prkg2,Tmem176a,Dock2,Zfp277,Adam17,Fgf9,Gucy1a1,Reln,Spp1,Atg10,Tmem176b,Ets1,Map7,Id2,Lcp1
HALLMARK_BILE_ACID_METABOLISM	0.998531571218796	0.998531571218796	0.0313490001730997	-0.182789169524842	-0.591666285441208	84	Pnpla8,Abca5,Abca1,Abcd2,Abca8b,Slco1a4,Slc27a2,Idh2,Gnpat,Crot,Gclm,Acsl1,Abca2,Aldh1a1,Cyp39a1,Abca6
