p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.43471362094716	0.419	0.106	0	Oligodendrocyte_lineage	Slu7
0	2.8698644875112	0.365	0.053	0	Oligodendrocyte_lineage	Elovl7
0	1.66840850939917	0.52	0.209	0	Oligodendrocyte_lineage	Deb1
0	1.46216152687159	0.533	0.222	0	Oligodendrocyte_lineage	Stard3nl
0	7.14912588998359	0.314	0.003	0	Oligodendrocyte_lineage	Smco3
0	4.43802361049899	0.331	0.02	0	Oligodendrocyte_lineage	Map6d1
0	2.18628242719351	0.418	0.107	0	Oligodendrocyte_lineage	Lzts2
0	3.09024293179309	0.362	0.052	0	Oligodendrocyte_lineage	Map7
0	1.2379076163782	0.872	0.563	0	Oligodendrocyte_lineage	Qk
0	3.40900971897583	0.347	0.038	0	Oligodendrocyte_lineage	Prr5l
0	0.924590443549381	0.983	0.676	0	Oligodendrocyte_lineage	Dbi
0	4.01962823834689	0.328	0.022	0	Oligodendrocyte_lineage	Gm15440
0	2.24158792766423	0.404	0.099	0	Oligodendrocyte_lineage	Snx15
0	2.71498917873071	0.363	0.058	0	Oligodendrocyte_lineage	Tmod1
0	1.85062032848729	0.397	0.094	0	Oligodendrocyte_lineage	Dock10
0	2.32533286084759	0.385	0.082	0	Oligodendrocyte_lineage	Hs3st1
0	1.240578924273	0.64	0.337	0	Oligodendrocyte_lineage	Gde1
0	2.40998983734013	0.371	0.069	0	Oligodendrocyte_lineage	Bcas1
0	2.25500831042286	0.37	0.068	0	Oligodendrocyte_lineage	Spock3
0	1.17903114566067	0.652	0.351	0	Oligodendrocyte_lineage	Tmem9b
0	1.97478320331344	0.406	0.105	0	Oligodendrocyte_lineage	Ddr1
0	2.48478032798225	0.379	0.078	0	Oligodendrocyte_lineage	Dbndd2
0	0.950185572640296	0.711	0.41	0	Oligodendrocyte_lineage	Mid1ip1
0	1.98085687070579	0.421	0.121	0	Oligodendrocyte_lineage	Pim3
0	1.26031791348409	0.508	0.209	0	Oligodendrocyte_lineage	Aig1
0	1.39447477041726	0.52	0.222	0	Oligodendrocyte_lineage	Lap3
0	1.15416983301398	0.576	0.278	0	Oligodendrocyte_lineage	Pgp
0	3.48525758929755	0.339	0.042	0	Oligodendrocyte_lineage	Ccp110
0	1.42342918968123	0.486	0.189	0	Oligodendrocyte_lineage	Cadm4
0	1.77754824627884	0.426	0.13	0	Oligodendrocyte_lineage	Dnm3
0	1.99658223318206	0.399	0.104	0	Oligodendrocyte_lineage	Aatk
0	2.30067114621965	0.41	0.116	0	Oligodendrocyte_lineage	Epn2
0	1.13141899679299	0.702	0.408	0	Oligodendrocyte_lineage	Zfp706
0	1.27928440499146	0.547	0.254	0	Oligodendrocyte_lineage	Rnf5
0	6.4517823884711	0.297	0.004	0	Oligodendrocyte_lineage	Ninj2
0	1.48645939506314	0.739	0.446	0	Oligodendrocyte_lineage	Dpysl2
0	5.91437795076064	0.298	0.006	0	Oligodendrocyte_lineage	Plekhh1
0	1.54968624608413	0.468	0.177	0	Oligodendrocyte_lineage	Pde6d
0	1.33546176017004	0.542	0.251	0	Oligodendrocyte_lineage	Mapk3
0	2.2164984498591	0.396	0.106	0	Oligodendrocyte_lineage	Secisbp2l
0	1.83936836526554	0.416	0.126	0	Oligodendrocyte_lineage	Fnbp1
0	2.14184030902578	0.38	0.091	0	Oligodendrocyte_lineage	Klhl2
0	2.12119067346843	0.349	0.062	0	Oligodendrocyte_lineage	Slc24a2
0	5.14189014533739	0.297	0.01	0	Oligodendrocyte_lineage	Zfp536
0	2.10132336331844	0.393	0.107	0	Oligodendrocyte_lineage	Chmp7
0	1.01961920720804	0.723	0.438	0	Oligodendrocyte_lineage	Atxn7l3b
0	1.90127178008146	0.426	0.143	0	Oligodendrocyte_lineage	Efcab14
0	1.78471327334099	0.369	0.086	0	Oligodendrocyte_lineage	Nkd1
0	1.70544905500565	0.409	0.126	0	Oligodendrocyte_lineage	Ralgds
0	1.65642105067629	0.417	0.134	0	Oligodendrocyte_lineage	Fam134b
0	2.58292073122034	0.331	0.049	0	Oligodendrocyte_lineage	Kcnk13
0	2.72077439112634	0.342	0.061	0	Oligodendrocyte_lineage	Smim1
0	1.65042445505826	0.424	0.143	0	Oligodendrocyte_lineage	Clip3
0	2.51225274869874	0.351	0.07	0	Oligodendrocyte_lineage	P3h4
0	1.75933783723858	0.401	0.121	0	Oligodendrocyte_lineage	Elovl1
0	3.40071464094136	0.316	0.036	0	Oligodendrocyte_lineage	Pde8a
0	1.88716009896803	0.4	0.12	0	Oligodendrocyte_lineage	Snx1
0	1.37580219202941	0.79	0.51	0	Oligodendrocyte_lineage	Reep5
0	1.70772266575416	0.426	0.148	0	Oligodendrocyte_lineage	Mast4
0	3.59670085986884	0.306	0.03	0	Oligodendrocyte_lineage	Kazn
0	0.793032609882498	0.742	0.466	0	Oligodendrocyte_lineage	Jund
0	2.9359776184678	0.322	0.047	0	Oligodendrocyte_lineage	Lrrn1
0	1.50053496183577	0.412	0.139	0	Oligodendrocyte_lineage	Msrb1
0	1.04823087416881	0.829	0.556	0	Oligodendrocyte_lineage	Mrfap1
0	1.64372006970941	0.443	0.171	0	Oligodendrocyte_lineage	Eid1
0	1.13345181774852	0.431	0.16	0	Oligodendrocyte_lineage	Slc38a2
0	1.09336625063481	0.899	0.629	0	Oligodendrocyte_lineage	Tmbim6
0	1.57071639295438	0.948	0.68	0	Oligodendrocyte_lineage	Tuba1a
0	3.44881467201691	0.295	0.028	0	Oligodendrocyte_lineage	Unc5b
0	5.11436791510699	0.284	0.018	0	Oligodendrocyte_lineage	Matn4
0	6.33241310625411	0.268	0.003	0	Oligodendrocyte_lineage	Insc
0	5.79095737221506	0.272	0.007	0	Oligodendrocyte_lineage	Bfsp2
0	2.41524098845627	0.331	0.067	0	Oligodendrocyte_lineage	Otud7b
0	1.45417957979078	0.399	0.136	0	Oligodendrocyte_lineage	Map1a
0	3.25537970244206	0.297	0.034	0	Oligodendrocyte_lineage	Arhgef10
0	2.47490316250456	0.328	0.065	0	Oligodendrocyte_lineage	Gab1
0	1.76545965448455	0.377	0.115	0	Oligodendrocyte_lineage	Pde4b
0	2.89852719899848	0.313	0.054	0	Oligodendrocyte_lineage	Dixdc1
0	3.21452575214838	0.302	0.043	0	Oligodendrocyte_lineage	Qpct
0	2.03044767828269	0.353	0.095	0	Oligodendrocyte_lineage	Gna12
