motif	TF_name	variability	bootstrap_lower_bound	bootstrap_upper_bound	p_value	p_value_adj
MA1999.2_Prdm5	Prdm5	1.63688365662214	0.507055174724066	2.1556378792057	0.0133500920559126	0.0196400392745637
MA1618.2_Ptf1A	Ptf1A	6.43847106012565	2.32934298243832	8.69936720492243	7.68625902122775e-51	1.30666403360872e-49
MA1619.2_Ptf1A	Ptf1A	3.95524125220867	1.85262721513711	4.69222192436691	4.7663361693296e-18	2.70092382928678e-17
MA1620.2_Ptf1A	Ptf1A	3.7044609665238	0.40869516192986	5.2015317772214	1.17406652041222e-15	5.4433993219112e-15
MA0859.2_Rarg	Rarg	1.8505179341166	0.323515774807775	2.32041238696609	0.00221236351660504	0.00352595435458928
MA1724.2_Rfx6	Rfx6	3.82120457123788	1.72901167389274	4.61933350487316	9.49832463342689e-17	4.84414556304771e-16
MA0629.2_Rhox11	Rhox11	1.27377192759254	0.688007153021419	1.6007800734797	0.136265913864188	0.165465752549371
MA0002.3_Runx1	Runx1	1.75052087490546	0.719001253706772	2.39255096629041	0.0053367324122684	0.00816520059077065
MA0720.2_Shox2	Shox2	1.92409655196864	0.777217374881366	2.565093157646	0.00110787159142512	0.00180323780306429
MA0631.2_Six3	Six3	1.39605994711212	0.50684169196389	1.70962893800545	0.069156428282053	0.0912149441996044
MA2001.2_Six4	Six4	2.14163365699355	0.454344363975393	2.9860360120234	0.000115696616754486	0.000218538053869585
MA1153.2_Smad4	Smad4	1.75988005145345	0.67936826856851	2.33060125223438	0.00492889589250463	0.00761738456114351
MA0869.3_Sox11	Sox11	3.03611366662271	1.07702455680972	4.13299042180952	4.01704107454505e-10	1.15963638567055e-09
MA0078.3_Sox17	Sox17	3.70213936345369	1.41630559726053	5.02134960418952	1.23319974988081e-15	5.54939887446363e-15
MA0514.3_Sox3	Sox3	3.82272939178062	1.90651422422681	4.72799625083339	9.1862519666985e-17	4.84414556304771e-16
MA0087.3_Sox5	Sox5	2.78404025136656	1.18037003463786	3.27540567931287	2.34818542488901e-08	5.79471564529062e-08
MA0080.7_Spi1	Spi1	1.98597338165459	0.837968218173421	2.5864299136932	0.000601889191662197	0.00107080286423623
MA1623.2_Stat2	Stat2	3.56813297931553	1.89373073151118	4.51188821978537	1.98587577137693e-14	8.43997202835196e-14
